trade_id,trade_date,desk,instrument_type,side,notional_usd,counterparty,settlement_status,pnl_usd,limit_breach_flag
TRD-2026-100134,2026-04-01,Rates,Interest Rate Swap,Sell,1584775.68,Meridian Clearing,Settled,5548.25,N
TRD-2026-100004,2026-04-03,Rates,Government Bond,Buy,160241.58,Meridian Clearing,Settled,1423.59,N
TRD-2026-100089,2026-04-03,Cash Equities,Common Stock,Sell,3095778.21,Meridian Clearing,Pending,-2647.57,N
TRD-2026-100149,2026-04-03,Rates,Interest Rate Swap,Buy,1373228.58,Lomond Trust,Pending,11377.31,N
TRD-2026-100160,2026-04-03,Equity Derivatives,Total Return Swap,Sell,5913765.75,Meridian Clearing,Pending,90793.67,N
TRD-2026-100065,2026-04-04,Cash Equities,ETF,Buy,1593797.07,Northbank Securities,Settled,17539.53,N
TRD-2026-100098,2026-04-04,Rates,Government Bond,Sell,1174877.72,Lomond Trust,Settled,6284.32,N
TRD-2026-100110,2026-04-04,Equity Derivatives,Total Return Swap,Buy,3760400.04,Halden Global Markets,Settled,54186.1,N
TRD-2026-100156,2026-04-04,Equity Derivatives,Total Return Swap,Sell,2716301.74,Northbank Securities,Settled,23236.54,N
TRD-2026-100137,2026-04-05,Equity Derivatives,Equity Option,Buy,12460093.4,Sagehill Bank,Pending,-141395.67,Y
TRD-2026-100045,2026-04-06,Equity Derivatives,Equity Option,Buy,7549184.04,Sagehill Bank,Settled,-51359.61,N
TRD-2026-100121,2026-04-06,FX,FX Spot,Buy,953795.92,Lomond Trust,Settled,7876.4,N
TRD-2026-100132,2026-04-06,Credit,Credit Default Swap,Sell,1522490.33,Meridian Clearing,Settled,-17061.53,N
TRD-2026-100123,2026-04-07,Cash Equities,ETF,Buy,2184579.65,Sagehill Bank,Pending,2756.02,N
TRD-2026-100127,2026-04-07,Rates,Interest Rate Swap,Buy,10044287.19,Sagehill Bank,Settled,-6227.9,N
TRD-2026-100041,2026-04-08,FX,FX Forward,Sell,2885381.3,Halden Global Markets,Settled,11080.61,N
TRD-2026-100100,2026-04-08,Cash Equities,Common Stock,Sell,2010211.61,Orient Pacific Capital,Settled,-23086.09,N
TRD-2026-100101,2026-04-08,Equity Derivatives,Total Return Swap,Buy,1230969.56,Sagehill Bank,Settled,-5138.61,N
TRD-2026-100112,2026-04-09,Equity Derivatives,Equity Option,Buy,5282978.23,Sagehill Bank,Pending,38852.89,N
TRD-2026-100016,2026-04-10,Cash Equities,ETF,Sell,3136774.4,Halden Global Markets,Settled,-1514.49,N
TRD-2026-100097,2026-04-11,Credit,Corporate Bond,Buy,4212304.94,Sagehill Bank,Settled,64853.41,N
